fiscalDateEnding,totalRevenue,netIncome,ticker
30/09/2022,5094849000,90679000,CPNG
30/06/2022,5031678000,-75491000,CPNG
31/03/2022,5109318000,-209294000,CPNG
31/12/2021,5066449000,-404979000,CPNG
30/09/2021,4637329000,-323977000,CPNG
30/06/2021,4472266000,-518601000,CPNG
31/03/2021,4182037000,-295033000,CPNG
31/12/2020,3803493000,-82755000,CPNG
30/09/2020,3136507000,-172999000,CPNG
30/06/2020,2614080000,-102050000,CPNG
31/03/2020,2413259000,-105353000,CPNG
30/06/2024,6242800000,1577900000,ASML
31/03/2024,5290000000,1223800000,ASML
31/12/2023,7237000000,2048100000,ASML
30/09/2023,6673000000,1893400000,ASML
30/06/2023,6902300000,1941700000,ASML
31/03/2023,6746200000,1955800000,ASML
31/12/2022,6430200000,1816500000,ASML
30/09/2022,5778300000,1731600000,ASML
30/06/2022,5430500000,1425400000,ASML
31/03/2022,3534400000,736000000,ASML
31/12/2021,4985600000,1843800000,ASML
30/09/2021,5241300000,1842500000,ASML
30/06/2021,4020200000,1051400000,ASML
31/03/2021,4363900000,1344600000,ASML
31/12/2020,4254100000,1375500000,ASML
30/09/2020,3958000000,1061500000,ASML
30/06/2020,3325700000,770400000,ASML
31/03/2020,2440600000,414400000,ASML
31/12/2019,4036400000,1121000000,ASML
30/09/2019,2986500000,638400000,ASML
30/06/2024,10694008000,-227108000,CSAN
31/03/2024,9842056000,-192175000,CSAN
31/12/2023,9573144000,2362471000,CSAN
30/09/2023,10253570000,678752000,CSAN
30/06/2023,10010456000,-1042701000,CSAN
31/03/2023,10754095000,1939325000,CSAN
31/12/2022,10754095000,1939325000,CSAN
30/09/2022,11507301000,253846000,CSAN
30/06/2022,9571087000,51868000,CSAN
31/03/2022,6749879000,1277371000,CSAN
31/12/2021,6749879000,1277371000,CSAN
30/09/2021,6890471000,3264681000,CSAN
30/06/2021,6558109000,942356000,CSAN
31/03/2021,3930733000,620154000,CSAN
31/12/2020,3930733000,620154000,CSAN
30/09/2020,3714923000,303839000,CSAN
30/06/2020,2356619000,-174385000,CSAN
