Ticker,Oldest Date,Oldest Revenue,Newest Date,Newest Revenue,%Change Revenue,Revenue Slope,Revenue R²,Revenue-Income Correlation,Correlation-Adjusted R²,dividendYield,targetMeanPrice,trailingPE,pegRatio,trailingPegRatio,exDividendDate
DMRC,2023-06-30,8730000.0,2024-06-30,10379000.0,0.18888888888888888,4633.87687044929,0.9696975824024128,0.868706365804313,0.8423824627380284,,,,,,
VTR,2023-09-30,1149832000.0,2024-09-30,1236315000.0,0.07521359642104238,229302.09480488388,0.9481373519336408,0.8879817883906879,0.8419287014100454,,,,,,
EXLS,2023-09-30,410971000.0,2024-09-30,472073000.0,0.14867715726900438,171219.70313622218,0.9560876016124151,0.8795026911146924,0.840881618559511,,,,,,
GEL,2023-09-30,807618000.0,2024-09-30,714297000.0,-0.11555091639859438,-223862.29351209002,0.9158869568737198,0.9176778965970428,0.8404892161045416,,,,,,
OVLY,2023-06-30,21062000.0,2024-06-30,19052000.0,-0.09543253252302725,-6303.1967244443595,0.8879532968118089,0.9461975474800108,0.8401792317201237,,,,,,
OUST,2023-06-30,19396000.0,2024-06-30,26990000.0,0.39152402557228294,20691.777189596192,0.9658362719067023,0.8697946498548587,0.8400792219402122,,,,,,
DDOG,2023-06-30,509460000.0,2024-06-30,645279000.0,0.26659404074902837,366597.9704550232,0.9905727919742646,0.8478004918278854,0.8398081002271032,,,,,,
EME,2019-09-30,2287741000.0,2024-09-30,3696924000.0,0.6159713883695751,860049.85063003,0.9030697898114693,0.9255063676646271,0.8357968409160713,0.0019,520.0,26.11224,24.32,,2024-10-15
HNRG,2023-06-30,161194000.0,2024-06-30,90914000.0,-0.4359963770363661,-214944.15884724903,0.897843035364807,0.9306526282500477,0.8355799806182582,,,,,,
CACI,2023-09-30,1850147000.0,2024-09-30,2056889000.0,0.11174355335008515,675492.4227914772,0.8948195218323376,0.9323578604031445,0.8342920148225631,,,,,,
INTA,2023-09-30,101575000.0,2024-09-30,118805000.0,0.16962835343342358,49119.0208283457,0.9842303422713812,0.8471187958562845,0.8337600223901511,,,,,,
BYRN,2023-08-31,7085000.0,2024-08-31,20854000.0,1.9434015525758646,35126.13946910773,0.8483342630303738,0.9784798284716547,0.8300779641765879,,,,,,
USAP,2023-06-30,69015000.0,2024-09-30,87250000.0,0.26421792363978847,38559.244454805455,0.9181050295504447,0.9040616828096243,0.8300235780113548,,,,,,
RSG,2023-06-30,3725900000.0,2024-09-30,4076200000.0,0.09401755280603344,763967.5220187292,0.9028848671336683,0.9159746635580301,0.8270196624043986,,,,,,
TCBX,2023-06-30,36074000.0,2024-09-30,42673000.0,0.1829295337362089,14895.046994137814,0.9798448192699717,0.8429991137474334,0.8260083142546002,,,,,,
UFPT,2023-06-30,100037000.0,2024-06-30,110177000.0,0.10136249587652568,26750.04538765838,0.8529187020730155,0.9678100861234537,0.8254633225095894,,,,,,
NVMI,2019-09-30,52507000.0,2024-06-30,156858000.0,1.9873731121564744,57398.91846481044,0.8471513141292614,0.974321453412488,0.8253976996427211,,,,,,
MA,2018-12-31,3807000000.0,2024-09-30,7369000000.0,0.9356448647228789,1678728.7426494146,0.8794965433791053,0.9363075353125035,0.8234792408471565,0.005,549.17,39.6944,2.16,1.9393,2024-10-09
SANM,2023-06-30,2207118000.0,2024-06-30,1841430000.0,-0.16568574947057657,-1038195.8525235539,0.8468603699722101,0.972288902042928,0.823392939303948,,,,,,
FCX,2023-06-30,5737000000.0,2024-06-30,6624000000.0,0.15461042356632387,2479714.1055286946,0.9066747356004059,0.9078899878236445,0.8231609146642586,,,,,,
TDG,2023-06-30,1744000000.0,2024-09-30,2186000000.0,0.25344036697247707,911855.7140664002,0.8744984520504517,0.9404157522445352,0.8223921196217072,,,,,,
CTAS,2019-11-30,1843749000.0,2024-08-31,2501587000.0,0.35679368504064274,494088.35902643594,0.9133112145882414,0.9001281090172112,0.8220970965315261,0.0069,212.65,57.144302,4.03,4.9136,2024-11-15
