fiscalDateEnding,totalRevenue,netIncome,ticker
2023-03-31,129029000.0,15338000,HCI
2022-12-31,119943000.0,1526000,HCI
2022-09-30,126654000.0,-50959000,HCI
2022-06-30,125926000.0,-9981000,HCI
2022-03-31,127040000.0,903000,HCI
2021-12-31,112320000.0,28000,HCI
2021-09-30,99217000.0,-6237000,HCI
2021-06-30,101504000.0,1917000,HCI
2021-03-31,94874000.0,6148000,HCI
2020-12-31,70313000.0,2707000,HCI
2020-09-30,104027000.0,15390000,HCI
2020-06-30,80717000.0,8936000,HCI
2020-03-31,55380000.0,547000,HCI
2019-12-31,63231000.0,6432000,HCI
2019-09-30,59979000.0,5853000,HCI
2024-06-30,156858000.0,45142000,NVMI
2024-03-31,141798000.0,36860000,NVMI
2023-12-31,134219000.0,38068000,NVMI
2023-09-30,128808000.0,33689000,NVMI
2023-06-30,122702000.0,29926000,NVMI
2023-03-31,132193000.0,34627000,NVMI
2022-12-31,151238000.0,36098000,NVMI
2022-09-30,143906000.0,35075000,NVMI
2022-06-30,141628000.0,34878000,NVMI
2022-03-31,133957000.0,34162000,NVMI
2021-12-31,121521000.0,22226000,NVMI
2021-09-30,112713000.0,30335000,NVMI
2021-06-30,97746000.0,22924000,NVMI
2021-03-31,84133000.0,17616000,NVMI
2020-12-31,76303000.0,13657000,NVMI
2020-09-30,69485000.0,13896000,NVMI
2020-06-30,62586000.0,8672000,NVMI
2020-03-31,61022000.0,11682000,NVMI
2019-12-31,64625000.0,12385000,NVMI
2019-09-30,52507000.0,8562000,NVMI
2024-06-30,606779000.0,51318000,ITRI
2024-03-31,601526000.0,51721000,ITRI
2023-12-31,578411000.0,44386000,ITRI
2023-09-30,558327000.0,40172000,ITRI
2023-06-30,539093000.0,24201000,ITRI
2023-03-31,492543000.0,-11836000,ITRI
2022-12-31,468275000.0,22212000,ITRI
2022-09-30,419181000.0,4117000,ITRI
2022-06-30,430222000.0,-36967000,ITRI
2022-03-31,471518000.0,906000,ITRI
2021-12-31,451291000.0,-58866000,ITRI
2021-09-30,484321000.0,-1869000,ITRI
2021-06-30,475408000.0,-33123000,ITRI
2021-03-31,507707000.0,12603000,ITRI
2020-12-31,515205000.0,21520000,ITRI
2020-09-30,529374000.0,-25357000,ITRI
2020-06-30,497910000.0,-62802000,ITRI
2020-03-31,587138000.0,8684000,ITRI
2019-12-31,628383000.0,14620000,ITRI
2019-09-30,611606000.0,16847000,ITRI
2024-06-30,178327000.0,24351000,DUOL
2024-03-31,167553000.0,26956000,DUOL
2023-12-31,150985000.0,12117000,DUOL
2023-09-30,137624000.0,2807000,DUOL
2023-06-30,126839000.0,3725000,DUOL
2023-03-31,115661000.0,-2582000,DUOL
2022-12-31,103824000.0,-13930000,DUOL
2022-09-30,96065000.0,-18445000,DUOL
2022-06-30,88386000.0,-15045000,DUOL
2022-03-31,81220000.0,-12154000,DUOL
2021-12-31,73014000.0,-17517000,DUOL
2021-09-30,63595000.0,-28970000,DUOL
2021-06-30,58803000.0,-176000,DUOL
2021-03-31,55360000.0,-176000,DUOL
2020-12-31,48268000.0,-10407000,DUOL
2020-09-30,45305000.0,-3176000,DUOL
2020-06-30,40011000.0,40000,DUOL
2024-06-30,3666897000.0,247572000,EME
2024-03-31,3432276000.0,197149000,EME
2023-12-31,3439221000.0,211517000,EME
2023-09-30,3207598000.0,169409000,EME
2023-06-30,3045622000.0,140595000,EME
2023-03-31,2890432000.0,111473000,EME
2022-12-31,2949822000.0,126300000,EME
2022-09-30,2826361000.0,105772000,EME
2022-06-30,2707388000.0,100664000,EME
2022-03-31,2592549000.0,73386000,EME
2021-12-31,2640193000.0,101668000,EME
2021-09-30,2521672000.0,99740000,EME
2021-06-30,2437666000.0,97350000,EME
2021-03-31,2304049000.0,84774000,EME
2020-12-31,2281494000.0,79781000,EME
2020-09-30,2201714000.0,61186000,EME
2020-06-30,2014021000.0,-83689000,EME
2020-03-31,2299832000.0,75665000,EME
2019-12-31,2403940000.0,86924000,EME
2019-09-30,2287741000.0,81834000,EME
