fiscalDateEnding,totalRevenue,netIncome,ticker
2022-06-30,204052000000.0,-16116000000,BABA
2022-03-31,204052000000.0,-16116000000,BABA
2021-12-31,242580000000.0,20546000000,BABA
2021-09-30,200690000000.0,5488000000,BABA
2021-06-30,205740000000.0,45141000000,BABA
2021-03-31,187395000000.0,-5479000000,BABA
2020-12-31,221084000000.0,79535000000,BABA
2020-09-30,155059000000.0,28876000000,BABA
2020-06-30,114314000000.0,3220000000,BABA
2020-03-31,114314000000.0,3220000000,BABA
2019-12-31,161456000000.0,52174000000,BABA
2024-09-30,17487000000.0,1270000000,HCA
2024-06-30,17492000000.0,1461000000,HCA
2024-03-31,17339000000.0,1591000000,HCA
2023-12-31,17303000000.0,1607000000,HCA
2023-09-30,16213000000.0,1079000000,HCA
2023-06-30,15861000000.0,1193000000,HCA
2023-03-31,15591000000.0,1363000000,HCA
2022-12-31,15497000000.0,2081000000,HCA
2022-09-30,14971000000.0,1134000000,HCA
2022-06-30,14820000000.0,1155000000,HCA
2022-03-31,14945000000.0,1273000000,HCA
2021-12-31,15064000000.0,1814000000,HCA
2021-09-30,15276000000.0,2269000000,HCA
2021-06-30,14435000000.0,1450000000,HCA
2021-03-31,13977000000.0,1423000000,HCA
2020-12-31,15795000000.0,1426000000,HCA
2020-09-30,12940000000.0,668000000,HCA
2020-06-30,10653000000.0,1079000000,HCA
2020-03-31,12145000000.0,581000000,HCA
2019-12-31,15103000000.0,1071000000,HCA
2024-06-30,3011649000000.0,231638000000,SONY
2024-03-31,3011649000000.0,231638000000,SONY
2023-12-31,3480966000000.0,189005000000,SONY
2023-09-30,3747527000000.0,363918000000,SONY
2023-06-30,2828623000000.0,200105000000,SONY
2023-03-31,3063550000000.0,128158000000,SONY
2022-12-31,3412914000000.0,321521000000,SONY
2022-09-30,2751879000000.0,263963000000,SONY
2022-06-30,2311494000000.0,218196000000,SONY
2022-03-31,2263986000000.0,111082000000,SONY
2021-12-31,3031319000000.0,346161000000,SONY
2021-09-30,2369365000000.0,213106000000,SONY
2021-06-30,2256843000000.0,211829000000,SONY
2021-03-31,2220419000000.0,107000000000,SONY
2020-12-31,2696536000000.0,371891000000,SONY
2020-09-30,2113486000000.0,459634000000,SONY
2020-06-30,1968919000000.0,233251000000,SONY
2020-03-31,1748740000000.0,12644000000,SONY
2019-12-31,2463162000000.0,229538000000,SONY
2024-09-30,9204000000.0,853000000,MDLZ
2024-03-31,9290000000.0,1412000000,MDLZ
2023-12-31,9314000000.0,950000000,MDLZ
2023-09-30,9029000000.0,984000000,MDLZ
2023-06-30,8507000000.0,944000000,MDLZ
2023-03-31,9166000000.0,2081000000,MDLZ
2022-12-31,8695000000.0,583000000,MDLZ
2022-09-30,7763000000.0,532000000,MDLZ
2022-06-30,7274000000.0,747000000,MDLZ
2022-03-31,7764000000.0,855000000,MDLZ
2021-12-31,7658000000.0,1003000000,MDLZ
2021-09-30,7182000000.0,1258000000,MDLZ
2021-06-30,6642000000.0,1078000000,MDLZ
2021-03-31,7238000000.0,961000000,MDLZ
2020-12-31,7298000000.0,1156000000,MDLZ
2020-09-30,6665000000.0,1119000000,MDLZ
2020-06-30,5911000000.0,544000000,MDLZ
2020-03-31,6707000000.0,736000000,MDLZ
2019-12-31,6913000000.0,733000000,MDLZ
2024-09-30,88349000000.0,26301000000,GOOG
2024-06-30,84735000000.0,23619000000,GOOG
2024-03-31,80374000000.0,23662000000,GOOG
2023-12-31,85069000000.0,20687000000,GOOG
2023-09-30,76307000000.0,19689000000,GOOG
2023-06-30,74383000000.0,18368000000,GOOG
2023-03-31,69686000000.0,15051000000,GOOG
2022-12-31,74291000000.0,13624000000,GOOG
2022-09-30,69420000000.0,13910000000,GOOG
2022-06-30,69743000000.0,16002000000,GOOG
2022-03-31,68059000000.0,16436000000,GOOG
2021-12-31,75140000000.0,20642000000,GOOG
2021-09-30,64928000000.0,18936000000,GOOG
2021-06-30,61880000000.0,18525000000,GOOG
2021-03-31,55314000000.0,17930000000,GOOG
2020-12-31,56118000000.0,15227000000,GOOG
2020-09-30,46130000000.0,11247000000,GOOG
2020-06-30,38297000000.0,6959000000,GOOG
2020-03-31,41159000000.0,6836000000,GOOG
2019-12-31,45569000000.0,10671000000,GOOG
2024-09-30,16657000000.0,3157000000,MRK
2024-06-30,16112000000.0,5455000000,MRK
2024-03-31,15775000000.0,4762000000,MRK
2023-12-31,14630000000.0,-1226000000,MRK
2023-09-30,15962000000.0,4745000000,MRK
2023-06-30,15035000000.0,-5975000000,MRK
2023-03-31,14487000000.0,2821000000,MRK
2022-12-31,13830000000.0,3017000000,MRK
2022-09-30,14959000000.0,3248000000,MRK
2022-06-30,14593000000.0,3944000000,MRK
2022-03-31,15901000000.0,4310000000,MRK
2021-12-31,13521000000.0,3758000000,MRK
2021-09-30,13154000000.0,4567000000,MRK
2021-06-30,11402000000.0,1545000000,MRK
