Ticker,Oldest Revenue Year,Oldest Revenue,Most Recent Revenue Year,Most Recent Revenue,Percent Change
AGL,2020,1218333000.0,2023,4316363000.0,254.28%
JELD,2020,4235677000.0,2023,4304334000.0,1.62%
BFH,2020,3298000000.0,2023,4295000000.0,30.23%
MODG,2020,1589500000.0,2023,4284800000.0,169.57%
CTLT,2020,3094000000.0,2023,4263000000.0,37.78%
ADV,2020,3155671000.0,2023,4224846000.0,33.88%
ZH,2020,1352196000.0,2023,4198889000.0,210.52%
TWLO,2020,1761776000.0,2023,4153945000.0,135.78%
PTEN,2020,1124249000.0,2023,4146456000.0,268.82%
BLCO,2020,3412000000.0,2023,4146000000.0,21.51%
HY,2020,2812100000.0,2023,4118300000.0,46.45%
MLKN,2021,2465100000.0,2023,4087100000.0,65.80%
O,2020,1647087000.0,2023,4078993000.0,147.65%
ST,2020,3045578000.0,2023,4054083000.0,33.11%
MIDD,2020,2513257000.0,2023,4036605000.0,60.61%
CAE,2021,2981900000.0,2023,4010600000.0,34.50%
HGV,2020,894000000.0,2023,3978000000.0,344.97%
GO,2020,3134640000.0,2023,3969453000.0,26.63%
BEPC,2020,3087000000.0,2023,3967000000.0,28.51%
XRAY,2020,3339000000.0,2023,3965000000.0,18.75%
VVX,2020,1395529000.0,2023,3963126000.0,183.99%
VC,2020,2548000000.0,2023,3954000000.0,55.18%
BHF,2020,8266000000.0,2023,3950000000.0,-52.21%
BHFAP,2020,8266000000.0,2023,3950000000.0,-52.21%
GTX,2020,3034000000.0,2023,3886000000.0,28.08%
AUNA,2020,1443782000.0,2023,3875907000.0,168.46%
TOST,2020,823000000.0,2023,3865000000.0,369.62%
JAZZ,2020,2363567000.0,2023,3834204000.0,62.22%
TRU,2020,2530600000.0,2023,3831200000.0,51.39%
VYX,2020,6207000000.0,2023,3830000000.0,-38.30%
YTRA,2021,1271268000.0,2023,3827265000.0,201.06%
AKAM,2020,3198149000.0,2023,3811920000.0,19.19%
AMN,2020,2393714000.0,2023,3789254000.0,58.30%
MLCO,2020,1727923000.0,2023,3775247000.0,118.48%
CHX,2020,1899996000.0,2023,3758285000.0,97.80%
CPAY,2020,2388855000.0,2023,3757719000.0,57.30%
REYN,2020,3263000000.0,2023,3756000000.0,15.11%
IHRT,2020,2948218000.0,2023,3751025000.0,27.23%
TNL,2020,2160000000.0,2023,3750000000.0,73.61%
SBH,2020,3514330000.0,2023,3728131000.0,6.08%
CNDT,2020,4163000000.0,2023,3722000000.0,-10.59%
VEON,2020,3482000000.0,2023,3698000000.0,6.20%
INCY,2020,2666702000.0,2023,3695649000.0,38.59%
EEFT,2020,2482700000.0,2023,3688000000.0,48.55%
HE,2020,2579775000.0,2023,3682166000.0,42.73%
TSE,2020,2744600000.0,2023,3675400000.0,33.91%
OCFT,2020,3312290000.0,2023,3667508000.0,10.72%
RKT,2020,15463766000.0,2023,3645883000.0,-76.42%
NYCB,2020,1161000000.0,2023,3633000000.0,212.92%
MKSI,2020,2330000000.0,2023,3622000000.0,55.45%
CMA,2020,2912000000.0,2023,3592000000.0,23.35%
ULCC,2020,1250000000.0,2023,3589000000.0,187.12%
SMG,2020,4131600000.0,2023,3551300000.0,-14.05%
KARO,2021,2290543000.0,2023,3507067000.0,53.11%
COLM,2020,2501554000.0,2023,3487203000.0,39.40%
ROKU,2020,1778388000.0,2023,3484619000.0,95.94%
CPA,2020,801003000.0,2023,3457004000.0,331.58%
CBRL,2020,2522792000.0,2023,3442808000.0,36.47%
CAKE,2020,1983225000.0,2023,3439503000.0,73.43%
CHEF,2020,1111631000.0,2023,3433763000.0,208.89%
THS,2020,4349700000.0,2023,3431600000.0,-21.11%
YSG,2020,5233170000.0,2023,3414774000.0,-34.75%
MRC,2020,2560000000.0,2023,3412000000.0,33.28%
ALIT,2019,2552000000.0,2023,3410000000.0,33.62%
VSH,2020,2501898000.0,2023,3402045000.0,35.98%
MTCH,2020,2391269000.0,2023,3364504000.0,40.70%
GEN,2021,2551000000.0,2023,3338000000.0,30.85%
DBI,2021,2234719000.0,2023,3315428000.0,48.36%
CCG,2021,1735404000.0,2023,3301418000.0,90.24%
NOAH,2020,3305826000.0,2023,3294696000.0,-0.34%
WERN,2020,2372178000.0,2023,3283499000.0,38.42%
GTN,2020,2381000000.0,2023,3281000000.0,37.80%
BXP,2020,2765686000.0,2023,3273569000.0,18.36%
VLRS,2020,1074986000.0,2023,3258973000.0,203.16%
SCS,2021,2596200000.0,2023,3232600000.0,24.51%
AHCO,2020,1056389000.0,2023,3200177000.0,202.94%
FANH,2020,3268145000.0,2023,3198389000.0,-2.13%
SUI,2020,1388228000.0,2023,3179200000.0,129.01%
VTNR,2020,103810000.0,2023,3177187000.0,2960.58%
GEL,2020,1824655000.0,2023,3176996000.0,74.11%
FHN,2020,2565000000.0,2023,3155000000.0,23.00%
SBGI,2020,5943000000.0,2023,3134000000.0,-47.27%
ZION,2020,2790000000.0,2023,3115000000.0,11.65%
FTRE,2020,2580300000.0,2023,3109000000.0,20.49%
COIN,2020,1277481000.0,2023,3108383000.0,143.32%
VNT,2020,2704600000.0,2023,3095200000.0,14.44%
KALU,2020,1172700000.0,2023,3087000000.0,163.24%
QSG,2021,1759940000.0,2023,3081381000.0,75.08%
CMPR,2021,2575961000.0,2023,3079627000.0,19.55%
FIVE,2021,1962137000.0,2023,3076308000.0,56.78%
CNK,2020,686300000.0,2023,3066700000.0,346.85%
PINS,2020,1692658000.0,2023,3055071000.0,80.49%
NOMD,2020,2515900000.0,2023,3044500000.0,21.01%
CART,2020,1477000000.0,2023,3042000000.0,105.96%
BKD,2020,3424446000.0,2023,3006756000.0,-12.20%
NBR,2020,2134043000.0,2023,3005981000.0,40.86%
QDEL,2020,1661668000.0,2023,2997800000.0,80.41%
EDU,2020,3578682000.0,2023,2997760000.0,-16.23%
SEDG,2020,1459271000.0,2023,2976528000.0,103.97%
